"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"200","204","149","253","672",\0,\0,\0,"200","2022-08-11 16:05:39","200","2022-08-11 16:05:39"
"200","204","149","253","674",\0,\0,\0,"200","2022-08-11 18:12:31","200","2022-08-11 18:12:31"
"200","204","149","253","678",\0,\0,\0,"200","2022-08-12 16:48:46","200","2022-08-12 16:48:46"
"200","204","149","253","682",\0,\0,\0,"200","2022-08-12 17:05:02","200","2022-08-12 17:05:02"
"200","204","149","253","694",\0,\0,\0,"200","2022-08-13 14:01:53","200","2022-08-13 14:01:53"
"178","216","150","270","836",\0,\0,\0,"178","2022-08-17 18:37:15","178","2022-08-17 18:37:15"
"178","216","150","270","837",\0,\0,\0,"178","2022-08-17 18:41:25","178","2022-08-17 18:41:25"
"181","223","150","304","945",\0,\0,\0,"181","2022-08-26 09:44:59","181","2022-08-26 09:44:59"
"181","223","150","304","946",\0,\0,\0,"181","2022-08-26 09:45:34","181","2022-08-26 09:45:34"
"181","260","150","304","945",\0,\0,\0,"181","2022-08-26 09:44:59","181","2022-08-26 09:44:59"
"181","260","150","304","946",\0,\0,\0,"181","2022-08-26 09:45:34","181","2022-08-26 09:45:34"
"3","79","151","283","833","1.0000","1","0.4333","3","2022-08-16 12:12:15","3","2022-08-16 12:12:15"
"178","99","152","251","668",\0,\0,\0,"178","2022-08-09 19:05:41","178","2022-08-09 19:05:41"
"178","99","152","251","669",\0,\0,\0,"178","2022-08-09 22:24:04","178","2022-08-09 22:24:04"
"178","109","152","251","668",\0,\0,\0,"178","2022-08-09 19:05:41","178","2022-08-09 19:05:41"
"178","109","152","251","669",\0,\0,\0,"178","2022-08-09 22:24:04","178","2022-08-09 22:24:04"
"178","258","152","251","668",\0,\0,\0,"178","2022-08-09 19:05:41","178","2022-08-09 19:05:41"
"178","258","152","251","669",\0,\0,\0,"178","2022-08-09 22:24:04","178","2022-08-09 22:24:04"
"3","99","152","280","827",\0,\0,\0,"3","2022-08-14 18:27:29","3","2022-08-14 18:27:29"
"3","16","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"3","17","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
"3","37","152","294","850",\0,\0,\0,"3","2022-08-24 08:55:32","3","2022-08-24 08:55:32"
