tutor_user_idx,course_id,course_class_id,course_class_seq_id,plan_id,start_date,end_date,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
261,162,343,1174,236322,2022-09-26 12:00,2022-09-26 12:30,261,2022-09-26 11:34,261,2022-09-26 11:34
232,164,308,1002,202382,2022-08-29 16:30,2022-08-29 17:00,232,2022-08-29 16:03,232,2022-08-29 16:03
232,164,308,1003,202383,2022-08-29 17:00,2022-08-29 17:30,232,2022-08-29 16:04,232,2022-08-29 16:04
232,164,308,1004,202384,2022-08-29 17:30,2022-08-29 18:00,232,2022-08-29 16:04,232,2022-08-29 16:04
233,164,309,1091,202682,2022-09-06 19:30,2022-09-06 21:00,233,2022-09-06 19:05,233,2022-09-06 19:05
232,165,310,1008,202385,2022-08-29 16:30,2022-08-29 17:00,232,2022-08-29 16:32,232,2022-08-29 16:32
232,165,310,1009,202386,2022-08-29 17:00,2022-08-29 17:30,232,2022-08-29 16:33,232,2022-08-29 16:33
233,166,311,1011,202388,2022-08-29 18:00,2022-08-29 18:30,233,2022-08-29 17:55,233,2022-08-29 17:55
233,166,311,1012,202389,2022-08-29 18:30,2022-08-29 19:00,233,2022-08-29 17:55,233,2022-08-29 17:55
232,167,312,1016,202391,2022-08-29 19:00,2022-08-29 19:30,232,2022-08-29 18:53,232,2022-08-29 18:53
232,167,312,1017,202392,2022-08-29 19:30,2022-08-29 20:00,232,2022-08-29 18:53,232,2022-08-29 18:53
232,168,314,1022,202394,2022-08-29 21:00,2022-08-29 21:30,232,2022-08-29 20:39,232,2022-08-29 20:39
232,168,314,1023,202395,2022-08-29 21:30,2022-08-29 22:00,232,2022-08-29 20:39,232,2022-08-29 20:39
243,169,315,1027,202407,2022-08-30 14:00,2022-08-30 14:30,243,2022-08-30 13:33,243,2022-08-30 17:17
243,169,315,1028,202408,2022-08-30 14:30,2022-08-30 15:00,243,2022-08-30 13:34,267,2022-08-30 13:37
278,169,342,1152,202835,2022-09-15 1:00,2022-09-16 0:00,278,2022-09-15 16:05,278,2022-09-15 16:05
244,170,321,1045,202431,2022-08-30 17:00,2022-08-30 18:30,244,2022-08-30 17:36,244,2022-08-30 17:36
243,170,323,1052,202444,2022-08-31 12:00,2022-08-31 15:30,243,2022-08-31 10:15,243,2022-08-31 10:15
243,170,334,1109,202698,2022-09-07 9:00,2022-09-07 17:30,243,2022-09-07 9:52,243,2022-09-07 9:52
243,170,334,1119,202717,2022-09-07 13:30,2022-09-07 18:00,243,2022-09-07 13:07,243,2022-09-07 13:07
243,170,334,1124,202748,2022-09-08 9:00,2022-09-08 16:30,243,2022-09-08 9:00,243,2022-09-08 9:00
244,172,322,1048,202442,2022-08-31 10:30,2022-08-31 18:00,244,2022-08-31 10:03,244,2022-08-31 11:42
244,172,322,1082,202597,2022-09-01 12:00,2022-09-01 18:00,244,2022-09-01 14:16,244,2022-09-01 14:16
244,172,322,1104,202697,2022-09-07 10:00,2022-09-07 10:30,244,2022-09-07 9:20,244,2022-09-07 9:20
244,172,322,1111,202705,2022-09-07 11:30,2022-09-07 12:00,244,2022-09-07 10:53,244,2022-09-07 10:53
244,172,322,1118,202716,2022-09-07 13:30,2022-09-07 14:00,244,2022-09-07 13:00,244,2022-09-07 13:00
244,172,322,1120,202724,2022-09-07 14:30,2022-09-07 15:00,244,2022-09-07 14:02,244,2022-09-07 14:02
244,172,322,1121,202725,2022-09-07 15:30,2022-09-07 16:00,244,2022-09-07 15:00,244,2022-09-07 15:00
244,172,322,1122,202738,2022-09-07 16:30,2022-09-07 17:00,244,2022-09-07 16:22,244,2022-09-07 16:22
244,172,322,1123,202740,2022-09-07 17:30,2022-09-07 18:00,244,2022-09-07 16:52,244,2022-09-07 16:52
244,172,322,1125,202749,2022-09-08 10:00,2022-09-08 10:30,244,2022-09-08 9:25,244,2022-09-08 9:25
232,173,324,1087,202643,2022-09-02 15:00,2022-09-02 15:30,232,2022-09-02 14:31,232,2022-09-02 14:31
232,173,324,1090,202681,2022-09-06 19:00,2022-09-06 21:00,232,2022-09-06 18:56,232,2022-09-06 18:56
233,173,325,1060,202446,2022-08-31 11:30,2022-08-31 12:00,233,2022-08-31 11:03,233,2022-08-31 11:03
233,173,325,1061,202447,2022-08-31 12:00,2022-08-31 12:30,233,2022-08-31 11:03,233,2022-08-31 11:03
232,174,326,1065,202450,2022-08-31 14:00,2022-08-31 14:30,232,2022-08-31 13:54,232,2022-08-31 13:54
232,174,326,1066,202451,2022-08-31 15:00,2022-08-31 15:30,232,2022-08-31 13:55,232,2022-08-31 13:55
270,175,327,1070,202475,2022-08-31 15:00,2022-08-31 18:00,270,2022-08-31 15:35,270,2022-08-31 15:35
270,175,327,1071,202476,2022-09-01 9:00,2022-09-01 12:30,270,2022-08-31 15:41,270,2022-08-31 15:41
148,176,328,1072,202478,2022-08-31 17:00,2022-08-31 17:30,148,2022-08-31 16:41,148,2022-08-31 16:41
148,176,328,1085,202599,2022-09-01 14:30,2022-09-01 15:30,148,2022-09-01 15:04,148,2022-09-01 15:04
44,176,339,1130,202780,2022-09-13 11:00,2022-09-13 11:30,44,2022-09-13 16:57,44,2022-09-13 16:57
44,176,339,1153,202837,2022-09-15 20:00,2022-09-15 20:30,44,2022-09-15 19:59,44,2022-09-15 19:59
243,177,329,1074,202479,2022-08-31 17:30,2022-08-31 18:00,243,2022-08-31 16:49,243,2022-08-31 16:49
243,177,329,1079,202485,2022-09-01 10:30,2022-09-01 11:00,243,2022-09-01 10:27,243,2022-09-01 10:27
243,177,329,1081,202488,2022-09-01 11:00,2022-09-01 15:00,243,2022-09-01 11:12,243,2022-09-01 11:12
243,177,329,1088,202658,2022-09-02 9:00,2022-09-02 18:00,243,2022-09-02 17:13,243,2022-09-02 17:13
245,178,330,1077,202482,2022-09-01 9:30,2022-09-01 10:00,245,2022-09-01 8:51,245,2022-09-01 8:51
245,178,330,1080,202486,2022-09-01 10:00,2022-09-01 15:00,245,2022-09-01 10:57,245,2022-09-01 10:57
245,178,330,1089,202664,2022-09-05 13:00,2022-09-05 15:30,245,2022-09-05 11:42,245,2022-09-05 11:42
246,179,331,1084,202598,2022-09-01 1:00,2022-09-01 18:00,246,2022-09-01 14:23,246,2022-09-01 14:23
246,179,331,1086,202642,2022-09-02 12:00,2022-09-02 15:00,246,2022-09-02 14:15,246,2022-09-02 14:15
232,180,332,1095,202687,2022-09-06 20:00,2022-09-06 20:30,232,2022-09-06 21:31,232,2022-09-06 21:31
232,180,332,1096,202688,2022-09-06 20:30,2022-09-06 21:00,232,2022-09-06 21:31,232,2022-09-06 21:31
232,180,332,1097,202689,2022-09-06 21:00,2022-09-06 21:30,232,2022-09-06 21:32,232,2022-09-06 21:32
232,181,333,1101,202691,2022-09-06 22:00,2022-09-06 22:30,232,2022-09-06 21:36,232,2022-09-06 21:36
232,181,333,1102,202692,2022-09-06 22:30,2022-09-06 23:00,232,2022-09-06 21:36,232,2022-09-06 21:36
232,181,333,1103,202693,2022-09-06 23:00,2022-09-06 23:30,232,2022-09-06 21:36,232,2022-09-06 21:36
232,181,346,1169,202887,2022-09-19 17:30,2022-09-19 18:30,232,2022-09-19 16:53,232,2022-09-19 16:53
232,181,346,1170,202888,2022-09-19 18:30,2022-09-19 19:00,232,2022-09-19 16:53,232,2022-09-19 16:53
232,181,346,1171,202889,2022-09-19 19:00,2022-09-19 19:30,232,2022-09-19 16:53,232,2022-09-19 16:53
232,181,346,1172,202890,2022-09-19 19:30,2022-09-19 20:00,232,2022-09-19 16:54,232,2022-09-19 16:54
232,181,346,1173,202891,2022-09-19 20:00,2022-09-19 22:00,232,2022-09-19 16:54,232,2022-09-19 16:54
