major,major_code
기계설계공학과,88
산업공학과,250
전기공학과,459
전기전자공학과,463
산업안전과,255
안전공학과,338
화학공업과,647
환경공업과,652
환경과학과,654
가족복지과,8
교육학과,59
노인복지학과,103
사회복지과,239
사회복지상담과,257
사회복지학과,240
심리학과,330
아동복지과,332
아동복지학과,333
아동학과,334
유아교육과,390
유아교육학과,391
청소년지도학과,550
특수교육학과,592
토목공학과,588
토목공학과,588
환경공학과,653
환경과학과,654
환경보건학과,658
경영학과,23
마케팅경영과,143
유통경영과,393
유통학과,394
경영학과,23
경제학과,25
법학과,203
유통경영과,393
생명공학과,260
생명과학과,261
생물학과,265
금융경영과,82
금융보험학과,83
동양화과,128
미술학과,184
회화학과,663
기계과,87
화학공업과,647
화학공학과,648
화학과,649
경영학과,23
경제학과,25
관광경영과,45
관광통역과,48
문화관광과,167
기계공학과,86
기계과,87
기계공학과,86
기계과,87
항해학과,629
해양공학과,631
해양시스템학과,634
경영학과,23
교육학과,59
통계학과,591
행정학과,639
섬유공학과,279
신소재공학과,324
신소재응용과,325
의류ㆍ의상학과,407
재료공학과,456
성악과,283
방송연예과,354
연극영화과,351
연극영화학과,352
기독교학과,93
불교학과,224
신학과,326
종교교육과,510
경영학과,23
경제학과,25
법학과,203
세무학과,286
세무회계과,287
수학과,298
통계학과,591
회계학과,662
관광경영과,45
관광경영학과,46
식품영양학과,318
식품조리과,320
외식산업과,375
외식산업학과,376
호텔경영과,643
소방안전관리과,288
응급구조과,399
행정학과,639
국어국문학과,69
문예창작과,163
문예창작학과,164
보건환경과,215
환경공학과,653
환경과학과,654
환경보건학과,658
환경시스템과,659
국어국문학과,69
비서행정과,227
비서행정학과,228
경영학과,23
경영회계정보과,24
금융경영과,82
금융보험학과,83
법학과,203
세무학과,286
세무회계과,287
수학과,298
통계학과,591
회계학과,662
국어국문학과,69
방송영상과,199
사회학과,243
신문방송학과,322
언론홍보학과,344
연극영화과,351
연극영화학과,352
동물자원학과,126
생물학과,265
수의학과,296
환경공학과,653
환경과학과,654
환경보건학과,658
수학과,298
통계학과,591
방송연예과,354
연극영화과,351
연극영화학과,352
영화과,368
레크리에이션과,140
사회체육과,241
사회체육학과,242
경영학과,23
경제학과,25
법학과,203
사회체육학과,242
스포츠건강관리학과,306
체육학과,552
물리치료과,175
물리치료학과,176
사회체육과,241
사회체육학과,242
체육교육과,551
체육학과,552
체육학과,552
공업디자인과,33
공업디자인학과,34
공예과,38
공예학과,41
광고디자인과,51
디지털디자인과,574
산업디자인과,252
산업디자인학과,253
시각디자인과,308
시각디자인학과,309
조형디자인학과,508
컴퓨터디자인학과,575
패션디자인과,596
시스템공학과,311
컴퓨터공학과,569
컴퓨터응용기계과,579
스마트정보과,489
시스템경영공학과,310
시스템공학과,311
컴퓨터공학과,569
컴퓨터응용기계과,579
시스템경영공학과,310
시스템공학과,311
국어국문학과,69
문예창작과,163
문예창작학과,164
사회학과,243
심리학과,330
통계학과,591
생명과학과,261
식품가공과,313
식품공학과,314
식품영양과,317
식품영양학과,318
식품조리과,320
조리과학과,504
기계공학과,86
재료공학과,456
전기공학과,459
전자공학과,469
컴퓨터공학과,569
생명공학과,260
생명과학과,261
생화학과,267
유전공학과,392
화학공학과,648
경영학과,23
경제학과,25
회계학과,662
철도운전과,545
철도전기제어과,546
심리학과,330
국어국문학과,69
방송영상과,199
사회학과,243
신문방송학과,322
언론홍보학과,344
연극영화과,351
연극영화학과,352
디지털디자인과,574
컴퓨터공학과,569
컴퓨터교육과,571
컴퓨터소프트웨어과,578
컴퓨터공학과,569
컴퓨터소프트웨어과,578
관현악과,49
기악과,94
음악과,395
음향제작과,398
전자공학과,469
전자과,470
피아노학과,612
광학공학과,55
안경광학과,337
무용과,160
무용학과,162
만화애니메이션학과,144
애니메이션과,339
국어국문학과,69
만화애니메이션학과,144
문예창작과,163
문예창작학과,164
애니메이션과,339
만화애니메이션학과,144
애니메이션과,339
애완동물과,340
약학부,341
한약학과,618
섬유디자인과,281
섬유디자인학과,282
의류ㆍ의상학과,407
패션디자인과,596
언어치료학과,346
특수교육학과,592
언어과학과,345
에너지자원공학과,448
원자력공학과,384
관광경영학과,46
관광통역과,48
문화관광과,167
호텔경영과,643
관광경영과,45
관광경영학과,46
관광통역과,48
문화관광과,167
사학과,236
연극영화과,351
연극영화학과,352
방송연예과,354
연극영화과,351
영화과,368
경영학과,23
방송연예과,354
신문방송학과,322
연극영화과,351
연극영화학과,352
연예매니지먼트과,168
관현악과,49
기악과,94
성악과,283
음악과,395
음악학과,396
작곡과,452
피아노학과,612
방송영상과,199
방송제작과,200
연극영화과,351
연극영화학과,352
영상제작과,362
전자공학과,469
정보통신공학과,490
식품가공과,313
식품공학과,314
식품영양과,317
식품영양학과,318
식품조리과,320
경영학과,23
국제통상학과,70
마케팅경영과,143
무역학과,72
연극영화과,351
연극영화학과,352
영화과,368
연극영화과,351
연극영화학과,352
국어국문학과,69
문예창작과,163
문예창작학과,164
신문방송학과,322
경제학과,25
국제문화정보학과,74
국제통상학과,70
국제학부,373
