major,subject_category,subject_details
농업경제학과,일반선택과목,"수학교과 : 수학I, 수학II, 미적분, 확률과 통계, 사회교과 : 경제, 사회문화, 정치와 법, 생활과 윤리, 한국지리, 세계지리, 교양교과 : 실용경제, 철학, 논술, 심리학, 환경, 교육학"
농업경제학과,진로선택과목,"실용수학, 경제수학, 수학과제 탐구, 사회문제 탐구, 창의경영, 미적분, 농업생명과학, 생활과 창의성"
농업경제학과,전문교과Ⅰ,"사회탐구 방법, 사회과제 연구, 한국사회의 이해, 국제경제, 심화수학I, 심화수학II, 고급수학I, 고급수학II, 과학과제 연구, 정보과학"
농업경제학과,전문교과Ⅱ,"농업 경영, 농산물 유통 관리, 농업 기초 기술, 관광 농업, 농산 식품 가공"
농업교육과,공통과목,"수학, 사회, 과학"
농업교육과,일반선택과목,"수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 사회교과 : 사회문화, 생활과 윤리, 정치와 법, 한국지리, 세계지리, 과학교과 : 생명과학, 화학Ⅰ, 교양교과 : 교육학, 심리학, 철학, 환경, 논술"
농업교육과,진로선택과목,"생명과학Ⅱ, 화학Ⅱ, 융합과학, 농업생명과학, 생활과 과학"
농업교육과,전문교과Ⅰ,"고급생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 정보과학, 과학과제 연구, 한국사회의 이해 "
농업교육과,전문교과Ⅱ,"생명공학 기술, 동물 자원, 농업 경영, 농산물 유통 관리, 농업 기초 기술, 농산 식품 가공"
축산과,공통과목,"과학, 수학, 사회, 생활ㆍ교양"
축산과,일반선택과목,"과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ, 지구과학Ⅰ, 수학ㆍ사회교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 한국지리, 생활과 윤리, 생활ㆍ교양교과 : 환경, 보건학, 논술, 철학, 정보, 진로와 직업"
축산과,진로선택과목,"생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 공학일반, 창의경영, 지식 재산 일반, 농업생명과학, 사회문제 탐구"
축산과,전문교과Ⅰ,"고급 생명과학, 생명과학 실험, 물리화학 실험, 융합과학 탐구, 과학 과제 연구, 생태와 환경, 정보과학"
축산과,전문교과Ⅱ,"임산 가공, 제조화학, 생명공학 기술, 산림 자원"
광고디자인과,공통과목,"미술, 윤리"
광고디자인과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
광고디자인과,진로선택과목,"미술 창작, 미술 감상과 비평"
광고디자인과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉 미술 전공 실기"
광고디자인과,전문교과Ⅱ,"디자인 일반, 시각디자인, 색체 관리"
산업디자인과,공통과목,"미술, 윤리"
산업디자인과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
산업디자인과,진로선택과목,"미술 창작, 미술 감상과 비평"
산업디자인과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉 미술 전공 실기"
산업디자인과,전문교과Ⅱ,"디자인 일반, 시각디자인, 색체 관리"
간호학과,공통과목,"영어, 과학, 윤리"
간호학과,일반선택과목,"영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 과학교과 : 생명과학Ⅰ, 화학Ⅰ, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학"
간호학과,진로선택과목,"생명과학Ⅱ, 화학Ⅱ"
간호학과,전문교과Ⅰ,"고급 화학 및 고급 생명과학, 화학실험 및 생명과학 실험, 과학과제 연구"
간호학과,전문교과Ⅱ,"공중 보건, 인체 구조와 기능, 보건 간호"
경제학과,공통과목,"수학, 과학, 기술ㆍ가정, 생활ㆍ교양"
경제학과,일반선택과목,"수학교과 : 수학Ⅰ, Ⅱ, 미적분, 확률과 통계, 사회교과 : 경제, 생활과 윤리, 기술ㆍ가정교과 : 정보, 생활ㆍ교양교과 : 실용 경제  "
경제학과,진로선택과목,"실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 지식 재산 일반"
경제학과,전문교과Ⅰ,"심화 수학 Ⅰ,Ⅱ, 고급 수학 Ⅰ,Ⅱ, 정보과학, 국제 경제, 국제법, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구"
경제학과,전문교과Ⅱ,"상업 경제, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션"
고고학과,공통과목,"사회, 역사, 한문, 수학, 영어, 제2외국어"
